condition,class,clean_f1,unmitigated_f1,clean_val_tuned_f1,deg_val_tuned_f1,matched_retraining_f1,recovery_pct,residual_degradation
opus_16k,Block,0.6430790485116376,0.6381502183510012,0.6707479891349098,0.6686003243547521,0.6411078137562009,60.00603203616607,0.0019712347554367016
opus_16k,Prolongation,0.6177572727495527,0.6124531077152293,0.6181227104507137,0.6244531803313297,0.6112531137314713,0.0,0.006504159018081435
opus_16k,SoundRep,0.6581753711814591,0.6565037260159399,0.6579539216312039,0.656709397395278,0.6556553435579071,0.0,0.002520027623551968
opus_16k,WordRep,0.6399327622776658,0.6421992346940434,0.6423058517057505,0.6427300255658236,0.6433857716200795,100.0,-0.00345300934241366
opus_16k,Interjection,0.7574756434140903,0.7560202944211397,0.7540799150593063,0.7572932112430237,0.7543386588596753,0.0,0.0031369845544150232
opus_8k,Block,0.6430790485116376,0.6152612124419575,0.6603270821415455,0.6626362582225155,0.6391444061009882,85.85568481749057,0.003934642410649336
opus_8k,Prolongation,0.6177572727495527,0.5947556901124628,0.6067088478699695,0.6130553757804665,0.6182088088640674,100.0,-0.00045153611451465014
opus_8k,SoundRep,0.6581753711814591,0.6387520877418378,0.6406381354313353,0.6411768342480442,0.6516349608177912,66.32695813764305,0.006540410363667926
opus_8k,WordRep,0.6399327622776658,0.6338631225396704,0.634242066925631,0.6342350466814024,0.6377669082352244,64.31659643844537,0.0021658540424414063
opus_8k,Interjection,0.7574756434140903,0.746163046380085,0.7474096945463014,0.7467244429493021,0.7512676813319041,45.123457827364824,0.006207962082186214
opus_16k_voip,Block,0.6430790485116376,0.6454657878240845,0.6698456672440107,0.6709008255465695,0.6424349617225019,0.0,0.0006440867891356339
opus_16k_voip,Prolongation,0.6177572727495527,0.6128896025951922,0.6160325621075883,0.6200864877058476,0.614448808288375,32.03186830122502,0.003308464461177718
opus_16k_voip,SoundRep,0.6581753711814591,0.6579477363562974,0.654259725401455,0.6551965491586328,0.6595822236976093,100.0,-0.0014068525161502476
opus_16k_voip,WordRep,0.6399327622776658,0.6465425774331552,0.6413746571160945,0.6467186052471583,0.6457684375970096,0.0,-0.005835675319343814
opus_16k_voip,Interjection,0.7574756434140903,0.7570018545632309,0.7563775017236195,0.7553182171099823,0.7551177676536422,0.0,0.0023578757604481027
vad_agg3,Block,0.6430790485116376,0.5154236705857327,0.6068706038348897,0.6340550621813243,0.5980375855768699,64.71636082507148,0.04504146293476763
vad_agg3,Prolongation,0.6177572727495527,0.5956353210075707,0.6039841509393178,0.6112490277645355,0.6015156728425728,26.581523653912768,0.01624159990697993
vad_agg3,SoundRep,0.6581753711814591,0.6184906329146036,0.6180178377112566,0.6229023445686173,0.6254182562818057,17.456643711791887,0.03275711489965338
vad_agg3,WordRep,0.6399327622776658,0.599647863632221,0.6122324790351314,0.6409550135042099,0.6484518630184658,100.0,-0.008519100740799979
vad_agg3,Interjection,0.7574756434140903,0.7505925031113468,0.7524677599369501,0.7472811057451711,0.750875653593085,4.1136816813866846,0.006599989821005403
vad_zero,Block,0.6430790485116376,0.5102068618308675,0.6076357971699965,0.6291107575105552,0.6065529823731046,72.51037478122637,0.03652606613853293
vad_zero,Prolongation,0.6177572727495527,0.5556545761333094,0.5638556517018884,0.560266443881169,0.5996918512688442,70.91040733328892,0.018065421480708554
vad_zero,SoundRep,0.6581753711814591,0.5626187526901872,0.5508757146242821,0.5937999492662309,0.6306008239600434,71.14323669382003,0.027574547221415724
vad_zero,WordRep,0.6399327622776658,0.5976453132005728,0.5783840313587237,0.5954380735556242,0.6309894853259188,78.85122619848082,0.008943276951747015
vad_zero,Interjection,0.7574756434140903,0.7105738382002437,0.712891026374992,0.721510636623102,0.7371774345114146,56.721902685564075,0.02029820890267575
denoise,Block,0.6430790485116376,0.5264382330674178,0.6267789374921089,0.6529757950545971,0.6273905600670802,86.54974385697777,0.01568848844455739
denoise,Prolongation,0.6177572727495527,0.5828669304521675,0.5914075504253561,0.6037330950884158,0.6144432994366823,90.50174605733581,0.003313973312870422
denoise,SoundRep,0.6581753711814591,0.6236944924912644,0.6227969513049549,0.6264622398269154,0.6503785159225439,77.38788698232231,0.0077968552589151585
denoise,WordRep,0.6399327622776658,0.6264438394648911,0.6199392685795326,0.6290122292887776,0.6457507854833303,100.0,-0.005818023205664491
denoise,Interjection,0.7574756434140903,0.7420424304305151,0.7463905057641501,0.7489479511038524,0.7563334080133914,92.5988489764605,0.00114223540069891
full_chain_novad,Block,0.6430790485116376,0.5308399911579574,0.6345704085383108,0.6543884568321452,0.6227279307290674,81.86806067121441,0.02035111778257015
full_chain_novad,Prolongation,0.6177572727495527,0.5768685675250103,0.5895946464987538,0.6092430263959026,0.6095688152531594,79.97379116940496,0.008188457496393298
full_chain_novad,SoundRep,0.6581753711814591,0.6250353701966518,0.6249380546091544,0.6346538240614358,0.6530859599420574,84.64269436281899,0.005089411239401653
full_chain_novad,WordRep,0.6399327622776658,0.6275764972648723,0.6340255023722181,0.6329052505681141,0.6389294318729548,91.87998635775313,0.0010033304047110114
full_chain_novad,Interjection,0.7574756434140903,0.7499717523568228,0.7512012420644554,0.7525591747618569,0.7525187639479058,33.942544896307666,0.004956879466184505
full_chain,Block,0.6430790485116376,0.4523460622715544,0.5726734487797723,0.627460537085931,0.570301059623454,61.84299825486138,0.07277798888818354
full_chain,Prolongation,0.6177572727495527,0.5768944752572626,0.5884380456922167,0.5980766059472522,0.5804382168745418,8.672293222087491,0.03731905587501094
full_chain,SoundRep,0.6581753711814591,0.5818396223266546,0.5804205327863846,0.5820546103996888,0.5987050236341332,22.093713051217577,0.05947034754732583
full_chain,WordRep,0.6399327622776658,0.5755128337707339,0.5863326667889825,0.6109163616261573,0.6220365501019771,72.21944731937573,0.017896212175688708
full_chain,Interjection,0.7574756434140903,0.7401543661349214,0.7409705123961008,0.7358767609428887,0.7432309250599782,17.761732437346406,0.014244718354112118
random_del_30pct,Block,0.6430790485116376,0.635203918796398,0.6546486168704736,0.6522189535909926,0.6249081960317934,0.0,0.01817085247984418
random_del_30pct,Prolongation,0.6177572727495527,0.5611087506358798,0.5753086382748631,0.5997277578253828,0.6041292478927887,75.94284131646435,0.013628024856764065
random_del_30pct,SoundRep,0.6581753711814591,0.6290957609324639,0.6268802376482311,0.6271272470964842,0.6269524272286005,0.0,0.03122294395285863
random_del_30pct,WordRep,0.6399327622776658,0.6091584447947687,0.6117376810608006,0.6165406095315207,0.627648946436178,60.08419732358129,0.012283815841487855
random_del_30pct,Interjection,0.7574756434140903,0.7412568444729962,0.7394549519173714,0.7353078165592251,0.7388561255726599,0.0,0.018619517841430455
