condition,class,clean_f1,degraded_f1,mean_diff,ci_90_low,ci_90_high,p_tost,is_equivalent
opus_16k,Block,0.6372817030026858,0.632054687729277,-0.005227015273408875,-0.0081847282921006,-0.0022693022547171505,0.00022025926688851172,True
opus_16k,Prolongation,0.6199600558549154,0.617925062680504,-0.002034993174411559,-0.00971760923465661,0.005647622885833493,0.0037849399082181545,True
opus_16k,SoundRep,0.6575036153653002,0.6563953908864554,-0.0011082244788447547,-0.006989845904179103,0.004773396946489594,0.0011902471170194273,True
opus_16k,WordRep,0.643216544123153,0.6434323845532289,0.00021584043007587538,-0.004215075521790727,0.004646756381942478,0.0003400191790183804,True
opus_16k,Interjection,0.7556660042509389,0.75447800383134,-0.001188000419598878,-0.0034554740357426146,0.0010794731965448586,3.0014233358133247e-05,True
opus_8k,Block,0.6372817030026858,0.6103356953851127,-0.0269460076175732,-0.03579682008294231,-0.018095195152204084,0.9151833032105863,False
opus_8k,Prolongation,0.6199600558549154,0.5976161593138971,-0.022343896541018336,-0.036401236396919195,-0.008286556685117477,0.6299013943427167,False
opus_8k,SoundRep,0.6575036153653002,0.6388216949610317,-0.018681920404268505,-0.022746068365218905,-0.014617772443318107,0.26367455540348606,False
opus_8k,WordRep,0.643216544123153,0.6301568790964825,-0.01305966502667042,-0.027442129799113903,0.0013227997457730643,0.18087063358780353,False
opus_8k,Interjection,0.7556660042509389,0.750085279706866,-0.005580724544073079,-0.012830796413220606,0.001669347325074449,0.006632228404166329,True
opus_16k_voip,Block,0.6372817030026858,0.6351627940101584,-0.002118908992527402,-0.007258897712412501,0.0030210797273576974,0.0008820258077479881,True
opus_16k_voip,Prolongation,0.6199600558549154,0.6188186331819765,-0.0011414226729390188,-0.009432379483369419,0.007149534137491382,0.004172458885671193,True
opus_16k_voip,SoundRep,0.6575036153653002,0.658625512898104,0.001121897532803806,-0.0028629397615879677,0.005106734827195579,0.00027042173947566805,True
opus_16k_voip,WordRep,0.643216544123153,0.6493995351124117,0.00618299098925863,-0.002591192272253397,0.014957174250770658,0.014190649972322444,True
opus_16k_voip,Interjection,0.7556660042509389,0.7563514910921061,0.0006854868411670489,-0.003339445478165254,0.004710419160499352,0.000257291773584134,True
