corpus,experiment,condition,class,fold,metric,value
sep28k,clean_baseline,clean,SoundRep,0,ece,0.11696905293390415
sep28k,clean_val_tuned,clean,SoundRep,0,ece,0.11696905293390415
sep28k,clean_mlp_baseline,clean,SoundRep,0,ece,0.02393024787772446
sep28k,clean_majority_vote,clean,SoundRep,0,ece,0.2913440529339042
sep28k,clean_baseline,clean,SoundRep,0,brier,0.16183358355774974
sep28k,clean_val_tuned,clean,SoundRep,0,brier,0.16183358355774974
sep28k,clean_mlp_baseline,clean,SoundRep,0,brier,0.14683212339878082
sep28k,clean_majority_vote,clean,SoundRep,0,brier,0.18184318639792316
sep28k,clean_baseline,clean,WordRep,0,f1,0.6169934640522876
sep28k,clean_val_tuned,clean,WordRep,0,f1,0.6194926568758344
sep28k,clean_mlp_baseline,clean,WordRep,0,f1,0.6
sep28k,clean_majority_vote,clean,WordRep,0,f1,0.5394321766561514
sep28k,clean_baseline,clean,WordRep,0,precision,0.5488372093023256
sep28k,clean_val_tuned,clean,WordRep,0,precision,0.5603864734299517
sep28k,clean_mlp_baseline,clean,WordRep,0,precision,0.7276595744680852
sep28k,clean_majority_vote,clean,WordRep,0,precision,0.39767441860465114
sep28k,clean_baseline,clean,WordRep,0,recall,0.7044776119402985
sep28k,clean_val_tuned,clean,WordRep,0,recall,0.6925373134328359
sep28k,clean_mlp_baseline,clean,WordRep,0,recall,0.5104477611940299
sep28k,clean_majority_vote,clean,WordRep,0,recall,0.8382352941176471
sep28k,clean_baseline,clean,WordRep,0,auc,0.8552510176390773
sep28k,clean_val_tuned,clean,WordRep,0,auc,0.8552510176390773
sep28k,clean_mlp_baseline,clean,WordRep,0,auc,0.8556804908265
sep28k,clean_majority_vote,clean,WordRep,0,auc,0.9066977077363897
sep28k,clean_baseline,clean,WordRep,0,pr_auc,0.6610488201582683
sep28k,clean_val_tuned,clean,WordRep,0,pr_auc,0.6610488201582683
sep28k,clean_mlp_baseline,clean,WordRep,0,pr_auc,0.6880550162458887
sep28k,clean_majority_vote,clean,WordRep,0,pr_auc,0.596151247945011
sep28k,clean_baseline,clean,WordRep,0,ece,0.1557626183645396
sep28k,clean_val_tuned,clean,WordRep,0,ece,0.1557626183645396
sep28k,clean_mlp_baseline,clean,WordRep,0,ece,0.03670808866852895
sep28k,clean_majority_vote,clean,WordRep,0,ece,0.23763761836453962
sep28k,clean_baseline,clean,WordRep,0,brier,0.13703414041996123
sep28k,clean_val_tuned,clean,WordRep,0,brier,0.13703414041996123
sep28k,clean_mlp_baseline,clean,WordRep,0,brier,0.10713865607976913
sep28k,clean_majority_vote,clean,WordRep,0,brier,0.13902137012016752
sep28k,clean_baseline,clean,Interjection,0,f1,0.7311446317657497
sep28k,clean_val_tuned,clean,Interjection,0,f1,0.7333333333333333
sep28k,clean_mlp_baseline,clean,Interjection,0,f1,0.7171620325982742
sep28k,clean_majority_vote,clean,Interjection,0,f1,0.6985539488320356
sep28k,clean_baseline,clean,Interjection,0,precision,0.7601476014760148
sep28k,clean_val_tuned,clean,Interjection,0,precision,0.7154471544715447
sep28k,clean_mlp_baseline,clean,Interjection,0,precision,0.8165938864628821
sep28k,clean_majority_vote,clean,Interjection,0,precision,0.5793357933579336
sep28k,clean_baseline,clean,Interjection,0,recall,0.7042735042735043
sep28k,clean_val_tuned,clean,Interjection,0,recall,0.7521367521367521
sep28k,clean_mlp_baseline,clean,Interjection,0,recall,0.6393162393162393
sep28k,clean_majority_vote,clean,Interjection,0,recall,0.8795518207282913
sep28k,clean_baseline,clean,Interjection,0,auc,0.849480021893815
sep28k,clean_val_tuned,clean,Interjection,0,auc,0.849480021893815
sep28k,clean_mlp_baseline,clean,Interjection,0,auc,0.8511338469959159
sep28k,clean_majority_vote,clean,Interjection,0,auc,0.933760149272903
sep28k,clean_baseline,clean,Interjection,0,pr_auc,0.8209390855164068
sep28k,clean_val_tuned,clean,Interjection,0,pr_auc,0.8209390855164068
sep28k,clean_mlp_baseline,clean,Interjection,0,pr_auc,0.8320592985309626
sep28k,clean_majority_vote,clean,Interjection,0,pr_auc,0.8336926632767019
sep28k,clean_baseline,clean,Interjection,0,ece,0.06630504461384928
sep28k,clean_val_tuned,clean,Interjection,0,ece,0.06630504461384928
sep28k,clean_mlp_baseline,clean,Interjection,0,ece,0.05236662464682013
sep28k,clean_majority_vote,clean,Interjection,0,ece,0.19883987461788893
