class,full_chain_f1,full_chain_novad_f1,vad_impact
Block,0.46149579336568164,0.5378948036286395,0.07639901026295787
Prolongation,0.5899330055736234,0.5813887065916495,-0.008544298981973841
SoundRep,0.5695157286266357,0.6257492249399055,0.05623349631326979
WordRep,0.5727069827529194,0.6203326145475104,0.047625631794591006
Interjection,0.7334302327146959,0.7461120229743805,0.012681790259684633
