class,linear_probe_f1,mlp_baseline_f1,delta_f1
Block,0.6430790485116376,0.616911857572723,-0.02616719093891451
Prolongation,0.6177572727495527,0.559525578402561,-0.058231694346991714
SoundRep,0.6581753711814591,0.6164101808989403,-0.041765190282518794
WordRep,0.6399327622776658,0.6151152301777196,-0.024817532099946193
Interjection,0.7574756434140903,0.7459289415521396,-0.011546701861950726
