setting,model,class,f1_mean,f1_fold_sd,f1_ci_low,f1_ci_high,auc_mean,auc_fold_sd,auc_ci_low,auc_ci_high,gain_vs_z,gain_p_value,floor_closed_pct
clean,z_only,Block,0.6397498935085624,0.014642145912983098,0.6220285388126489,0.6583132750329669,0.6936033233512353,0.007326469872779568,0.6838491774652904,0.7037015411880305,,,
clean,z_only,Prolongation,0.6233125540910102,0.03374142746254455,0.6042830186035818,0.6464911776115145,0.7721202702164732,0.012795864056864632,0.7634167384785541,0.7858691221045833,,,
clean,z_only,SoundRep,0.5936131830070919,0.022982050361049954,0.5659391223684781,0.6235297894181221,0.8203359325058173,0.01998620519558329,0.8062977516993864,0.8338283145714125,,,
clean,z_only,WordRep,0.6065774323658386,0.03131490977702635,0.5856918455607386,0.6297415841788377,0.8426976820152289,0.01391076974257298,0.8342619070543698,0.8532118079414386,,,
clean,z_only,Interjection,0.7554643075025982,0.020099134941900836,0.7366538924988152,0.7742407680639326,0.8612488049500022,0.011833037499848952,0.8509180233328827,0.870573237472394,,,
clean,g_only,Block,0.5484436506504995,0.025707738182937503,0.5286643832335801,0.5696531885346411,0.572267963932054,0.01296035756344107,0.5584283919041684,0.583384559954145,,,
clean,g_only,Prolongation,0.42900414199587067,0.027590662787416686,0.4109360878396183,0.4503878236510294,0.5429382807325527,0.019062862689988094,0.5261701711790833,0.5557398800288949,,,
clean,g_only,SoundRep,0.38498906084905027,0.021215518550757494,0.35977673913168806,0.4134251721902894,0.5981821471581935,0.020688167406827086,0.5768564304427404,0.6155609358229142,,,
clean,g_only,WordRep,0.3515739160431612,0.025571462918349202,0.3312863813553316,0.3741520316688313,0.5608592380278576,0.014272135937300517,0.5484904534527388,0.5775513273854577,,,
clean,g_only,Interjection,0.4763581350998626,0.04353425649399367,0.45745313367611573,0.5008197680886186,0.5290927812668033,0.012203995021353862,0.5171160775885582,0.5444572269531034,,,
clean,z_and_g,Block,0.6362958425565219,0.01357763734331388,0.6180022528175563,0.6557320053984602,0.692948531747884,0.007146859856743464,0.6828490246327659,0.7032627745538543,-0.003454050952040366,0.1823295945921367,
clean,z_and_g,Prolongation,0.6217033625127367,0.034013604909699666,0.6029068585509274,0.6454172916198954,0.7715765275223403,0.012643890828932683,0.7628033283420019,0.7855614453884601,-0.0016091915782733724,0.10356432688884755,
clean,z_and_g,SoundRep,0.5954638077547578,0.02343203885206393,0.5669700446302297,0.6248469936241541,0.8199443237555958,0.01963537978837195,0.8056820621257579,0.8332695479213375,0.0018506247476660187,0.17731174962281396,
clean,z_and_g,WordRep,0.6060164402783145,0.03169882525373593,0.5859138535270444,0.628549135209583,0.8425547028532554,0.013854025994573787,0.8340727794616251,0.852918170047659,-0.0005609920875242702,0.7475755912019652,
clean,z_and_g,Interjection,0.7553084241839843,0.019752479093736536,0.7367310990974658,0.7738777898845502,0.8610685486214171,0.011795381300331942,0.8508514541131155,0.8703667379529995,-0.00015588331861389194,0.7880671576667466,
vad_agg3,z_only,Block,0.601918921074232,0.02494062459415355,0.5851175423333533,0.6207657593027237,0.6503827277380089,0.01323861844382909,0.6388017813999737,0.6622498952233461,,,
vad_agg3,z_only,Prolongation,0.6028580815563603,0.0386298467803393,0.582976810993337,0.6292298856451598,0.751085611124185,0.017203620572367382,0.741509392274179,0.766301116374915,,,
