condition,class,clean_f1,unmitigated_f1,mitigated_f1,unmitigated_drop,mitigated_drop,recovery_pct,irreducible_floor,paired_mean_gap,paired_sd_gap,paired_p_val
clean,Block,0.6474597244758948,0.6474597244758948,0.6474597244758948,0.0,0.0,0.0,0.0,0.0,0.0,
clean,Prolongation,0.6317353640085368,0.6317353640085368,0.6317353640085368,0.0,0.0,0.0,0.0,0.0,0.0,
clean,SoundRep,0.6113121868618536,0.6113121868618536,0.6113121868618536,0.0,0.0,0.0,0.0,0.0,0.0,
clean,WordRep,0.6296273961608223,0.6296273961608223,0.6296273961608223,0.0,0.0,0.0,0.0,0.0,0.0,
clean,Interjection,0.7626280644508107,0.7626280644508107,0.7626280644508107,0.0,0.0,0.0,0.0,0.0,0.0,
opus_16k,Block,0.6474597244758948,0.6406735281461791,0.6479817916787548,0.006786196329715777,-0.000522067202859966,100.0,-0.000522067202859966,-0.0005220672028599438,0.004476944384369123,0.8071566995248387
opus_16k,Prolongation,0.6317353640085368,0.628918580900758,0.6295864855015548,0.0028167831077787753,0.002148878506981977,23.711609138535565,0.002148878506981977,0.002148878506981977,0.0031307601453807433,0.199627966825491
opus_16k,SoundRep,0.6113121868618536,0.6125802101408402,0.614557826409348,-0.001268023278986563,-0.00324563954749435,100.0,-0.00324563954749435,-0.003245639547494372,0.005425063228962766,0.2519654921091848
opus_16k,WordRep,0.6296273961608223,0.6349398496280986,0.6322987746643208,-0.005312453467276268,-0.0026713785034985227,0.0,-0.0026713785034985227,-0.0026713785034985227,0.007483153774111987,0.4694364739362239
opus_16k,Interjection,0.7626280644508107,0.7633729102785098,0.7636831945853867,-0.000744845827699181,-0.0010551301345760322,100.0,-0.0010551301345760322,-0.0010551301345759656,0.004308510296497603,0.6130874726763028
opus_8k,Block,0.6474597244758948,0.5968202451246766,0.6459665381191433,0.050639479351218264,0.0014931863567515524,97.05133943736799,0.0014931863567515524,0.0014931863567515969,0.005133469326114963,0.5508951088031941
opus_8k,Prolongation,0.6317353640085368,0.6164008579424103,0.6246666884733536,0.015334506066126519,0.0070686755351832,53.90346774326367,0.0070686755351832,0.007068675535183133,0.003488616840980738,0.010571327796379208
opus_8k,SoundRep,0.6113121868618536,0.5937477465316165,0.6016816209006726,0.017564440330237074,0.009630565961181059,45.17009491841252,0.009630565961181059,0.009630565961181059,0.002900602819517956,0.0017570040415802533
opus_8k,WordRep,0.6296273961608223,0.6102606703654712,0.6214675055343034,0.019366725795351147,0.008159890626518895,57.86644209896532,0.008159890626518895,0.008159890626518918,0.0056818568830942695,0.03254905180525271
opus_8k,Interjection,0.7626280644508107,0.7543210955644037,0.7586978836633439,0.008306968886406918,0.003930180787466764,52.68814845451145,0.003930180787466764,0.003930180787466786,0.004029788378131855,0.09466011906453588
opus_16k_dtx,Block,0.6474597244758948,0.64020698456936,0.6484148210089271,0.007252739906534855,-0.0009550965330322736,100.0,-0.0009550965330322736,-0.0009550965330322958,0.0028715302787156597,0.4983491541306642
opus_16k_dtx,Prolongation,0.6317353640085368,0.6270372214423887,0.6302316457377228,0.004698142566148089,0.0015037182708139696,67.99334524991146,0.0015037182708139696,0.0015037182708139696,0.001929405540675366,0.15634001565105526
opus_16k_dtx,SoundRep,0.6113121868618536,0.6135327115235917,0.6141646679785112,-0.0022205246617380547,-0.0028524811166575903,100.0,-0.0028524811166575903,-0.002852481116657657,0.00553313665337788,0.31321217280278263
opus_16k_dtx,WordRep,0.6296273961608223,0.6282168485959614,0.6286667445981113,0.00141054756486092,0.000960651562710968,31.89513160403859,0.000960651562710968,0.000960651562710968,0.008476155899901165,0.8124311765202665
opus_16k_dtx,Interjection,0.7626280644508107,0.7631499739942852,0.7638897590781518,-0.0005219095434745302,-0.001261694627341159,100.0,-0.001261694627341159,-0.0012616946273411144,0.003980330543902193,0.5175764149335076
vad_agg3,Block,0.6474597244758948,0.4292899929233637,0.6087529216888915,0.21816973155253117,0.038706802787003336,82.25839922359557,0.038706802787003336,0.03870680278700338,0.010787944608014275,0.0013095543982037314
vad_agg3,Prolongation,0.6317353640085368,0.6136562018700508,0.6151068574083399,0.018079162138486038,0.01662850660019688,8.02390911247526,0.01662850660019688,0.016628506600196925,0.008748142351397889,0.013154634037579592
vad_agg3,SoundRep,0.6113121868618536,0.5665450487052514,0.5745071236460976,0.04476713815660227,0.03680506321575605,17.785534811257463,0.03680506321575605,0.03680506321575607,0.010836186000592071,0.0016124553041562343
vad_agg3,WordRep,0.6296273961608223,0.542996563419272,0.6378443277975256,0.08663083274155026,-0.00821693163670334,100.0,-0.00821693163670334,-0.008216931636703317,0.012840926730572601,0.22571223843243787
vad_agg3,Interjection,0.7626280644508107,0.7524812705062227,0.7644469747917982,0.01014679394458795,-0.0018189103409875784,100.0,-0.0018189103409875784,-0.0018189103409876229,0.009717162517411575,0.6970348762827367
vad_zero,Block,0.6474597244758948,0.533258682325965,0.6147287063210246,0.11420104214992988,0.03273101815487023,71.33912481122631,0.03273101815487023,0.03273101815487021,0.008018327086519885,0.0007993410738226537
vad_zero,Prolongation,0.6317353640085368,0.5763495524139121,0.6078628235703121,0.055385811594624745,0.023872540438224732,56.89773291948729,0.023872540438224732,0.02387254043822471,0.0051493467121171786,0.0004888238110602605
vad_zero,SoundRep,0.6113121868618536,0.5195592477223046,0.5831317131168678,0.09175293913954907,0.02818047374498578,69.28657107961908,0.02818047374498578,0.028180473744985824,0.014125543466804382,0.011152061615089848
vad_zero,WordRep,0.6296273961608223,0.5896225147605374,0.6187887554718817,0.04000488140028491,0.010838640688940582,72.90670460814466,0.010838640688940582,0.010838640688940537,0.016947478922016375,0.22592645380875764
vad_zero,Interjection,0.7626280644508107,0.7162753002443314,0.7480992875570133,0.04635276420647927,0.01452877689379739,68.65607231301529,0.01452877689379739,0.014528776893797413,0.007991526168709835,0.015282874687085597
denoise,Block,0.6474597244758948,0.5472638277448448,0.6328825337234258,0.10019589673105,0.014577190752468994,85.45130965632485,0.014577190752468994,0.01457719075246906,0.00681598894857909,0.008761253144900364
denoise,Prolongation,0.6317353640085368,0.6105102759473182,0.6275030881767519,0.02122508806121859,0.004232275831784871,80.0600316965569,0.004232275831784871,0.004232275831784848,0.006848884018349885,0.23919713518077262
denoise,SoundRep,0.6113121868618536,0.5801630190167719,0.5974281157450623,0.031149167845081704,0.013884071116791352,55.42715238544142,0.013884071116791352,0.01388407111679133,0.0070159135353707975,0.011465955496362751
denoise,WordRep,0.6296273961608223,0.6099805877438328,0.6233283931227158,0.019646808416989514,0.006299003038106488,67.93879746565123,0.006299003038106488,0.006299003038106532,0.007471689433322877,0.13249578655036426
denoise,Interjection,0.7626280644508107,0.7521251965763376,0.7563802816094773,0.010502867874473076,0.006247782841333316,40.51355385971887,0.006247782841333316,0.006247782841333449,0.005433653082265536,0.0619067274067226
full_chain,Block,0.6474597244758948,0.357447776476678,0.5893986858557821,0.2900119479992168,0.05806103862011269,79.97977703309331,0.05806103862011269,0.05806103862011267,0.007712202091471774,7.298564034442186e-05
full_chain,Prolongation,0.6317353640085368,0.5987634252720775,0.607033461926802,0.032971938736459316,0.02470190208173484,25.08204543513765,0.02470190208173484,0.024701902081734794,0.008269469678864867,0.002611794338409595
full_chain,SoundRep,0.6113121868618536,0.5254536440360857,0.5467452993439628,0.08585854282576788,0.06456688751789086,24.79852861128103,0.06456688751789086,0.06456688751789078,0.01165992679081434,0.0002445137047850896
full_chain,WordRep,0.6296273961608223,0.5270133018306592,0.617008771648416,0.10261409433016311,0.012618624512406251,87.70283498112302,0.012618624512406251,0.012618624512406251,0.007367222753704425,0.018618880730964994
full_chain,Interjection,0.7626280644508107,0.7350940660086284,0.7518078266243688,0.027533998442182295,0.010820237826441814,60.702264695907274,0.010820237826441814,0.010820237826441814,0.007291705807862897,0.02943004808728322
