class,any_annotator_f1,majority_vote_f1,delta_f1
Block,0.6430790485116376,0.3497002753374787,-0.29337877317415884
Prolongation,0.6177572727495527,0.37739164797143065,-0.24036562477812207
SoundRep,0.6581753711814591,0.44158263258904107,-0.216592738592418
WordRep,0.6399327622776658,0.5422332615895527,-0.09769950068811317
Interjection,0.7574756434140903,0.7098666677399963,-0.047608975674094056
