metric,class,vad_zero_mean,vad_zero_sd,vad_agg3_mean,vad_agg3_sd,paired_diff_mean (zero - excision),paired_diff_sd,diff_ci_95_low,diff_ci_95_high,paired_t_stat,paired_p_val,cohens_d,significant_at_05
f1,Block,0.533258682325965,0.043657469571061806,0.4292899929233636,0.04154945485552353,0.10396868940260136,0.035308928641785794,0.06012686389295021,0.1478105149122525,6.5842002569472635,0.0027551091060716132,2.944543870401133,True
f1,Prolongation,0.5763495524139121,0.03909039471196413,0.6136562018700508,0.037990561492750374,-0.03730664945613875,0.009272255008648013,-0.04881967468254152,-0.02579362422973598,-8.996754739691452,0.0008450027891203485,-4.0234710349687015,True
f1,SoundRep,0.5195592477223046,0.05578707745485724,0.5665450487052514,0.03243139014124386,-0.04698580098294688,0.03210409094163951,-0.08684829490024024,-0.00712330706565352,-3.272587445822262,0.030714230139751445,-1.4635455982341974,True
f1,WordRep,0.5896225147605374,0.025100993450265546,0.542996563419272,0.02874482848959412,0.04662595134126529,0.013631277107901619,0.029700485306844725,0.06355141737568586,7.648498074639769,0.001570024695069966,3.420512324134157,True
f1,Interjection,0.7162753002443314,0.02778308781981442,0.7524812705062227,0.01637051377608757,-0.0362059702618913,0.019034486592271842,-0.0598404069878075,-0.012571533535975097,-4.253280502443119,0.013123690841354379,-1.902124866167455,True
auc,Block,0.6455788863687113,0.013546141688756008,0.6422062374456174,0.013026779180373912,0.0033726489230938572,0.0035364822456202087,-0.001018473761579557,0.0077637716077672714,2.1324784722499697,0.09992899477530544,0.9536733649011663,False
auc,Prolongation,0.7345031980244319,0.020221818296696167,0.7626951750183628,0.018000069716591693,-0.02819197699393099,0.005069246859076646,-0.03448627831685397,-0.021897675671008008,-12.435610008943684,0.00024043006963187646,-5.561373864334969,True
auc,SoundRep,0.778710138799298,0.03166195382389424,0.7930539686591885,0.017924533890359,-0.014343829859890422,0.015794446487070204,-0.033955225434441405,0.005267565714660565,-2.0306997558073845,0.1121233788542136,-0.9081565391755071,False
auc,WordRep,0.8248375586254021,0.012096525906671592,0.850346420649854,0.014750484097882944,-0.02550886202445195,0.012796462323100426,-0.041397768595416655,-0.009619955453487247,-4.457446759513256,0.011182286997469648,-1.9934307920715595,True
auc,Interjection,0.8406300779820416,0.009593276665311647,0.858133337333854,0.009015642538411939,-0.01750325935181225,0.003492733178665867,-0.021840060395093452,-0.013166458308531047,-11.205687848566486,0.0003611472038023769,-5.011335952807606,True
