class,vad_agg3_f1,random_del_matched_f1,random_del_30pct_f1,delta_matched_vs_vad,delta_30pct_vs_vad
Block,0.5159158754127542,0.626101602451768,0.628754506870568,0.11018572703901386,0.11283863145781381
Prolongation,0.6050536517905549,0.44446728435080873,0.559280999023576,-0.1605863674397462,-0.04577265276697895
SoundRep,0.6079413498527194,0.5771557791620043,0.6306517087328503,-0.03078557069071508,0.022710358880130843
WordRep,0.5977173635311056,0.5516918337083663,0.6025226511987146,-0.04602552982273933,0.004805287667609015
Interjection,0.7488275339246769,0.686111147634613,0.7400840129076613,-0.06271638629006393,-0.008743521017015587
